n,m,n_over_m,sparsity,condition,seed,feature,w_norm,represented,D_groundtruth,top1_evr,pr,r_set1,r_set2,sat_set1,sat_set2
20,10,2,0.8,baseline,0,0,1.2402334213256836,1,0.4970605969429016,0.2703213691711426,7.104071140289307,0.12571504712104797,0.503468930721283,0.0,0.0
20,10,2,0.8,baseline,0,1,1.1817131042480469,1,0.5087412595748901,0.244064062833786,7.521100997924805,0.12387002259492874,0.503876805305481,0.0,0.0
20,10,2,0.8,baseline,0,2,1.2881896495819092,1,0.5445354580879211,0.2744435667991638,6.948285102844238,0.13417202234268188,0.5454182624816895,0.0,0.0
20,10,2,0.8,baseline,0,3,1.2812713384628296,1,0.5082149505615234,0.2721307873725891,7.022648811340332,0.13040894269943237,0.5284261107444763,0.0,0.0
20,10,2,0.8,baseline,0,4,1.275713562965393,1,0.4918763041496277,0.2811002731323242,6.906734943389893,0.14162373542785645,0.5545496940612793,0.0,0.0
20,10,2,0.8,baseline,0,5,1.2170894145965576,1,0.4785016179084778,0.2602287828922272,7.240633010864258,0.13048171997070312,0.5203419923782349,0.0,0.0
20,10,2,0.8,baseline,0,6,1.4427324533462524,1,0.5230309963226318,0.33173510432243347,6.005226135253906,0.14563587307929993,0.5869288444519043,0.0,0.0
20,10,2,0.8,baseline,0,7,1.262330174446106,1,0.481733113527298,0.27382418513298035,7.037200450897217,0.13604700565338135,0.5499905943870544,0.0,0.0
20,10,2,0.8,baseline,0,8,1.146340250968933,1,0.4787132441997528,0.24764622747898102,7.474468231201172,0.12870600819587708,0.5189602375030518,0.0,0.0
20,10,2,0.8,baseline,0,9,1.4628807306289673,1,0.49493473768234253,0.3540651202201843,5.601383686065674,0.15312953293323517,0.6111863255500793,0.0,0.0
20,10,2,0.8,baseline,0,10,1.5093543529510498,1,0.5029572248458862,0.36877089738845825,5.372376441955566,0.15827657282352448,0.6365232467651367,0.0,0.0
20,10,2,0.8,baseline,0,11,1.2333531379699707,1,0.47043105959892273,0.2693507671356201,7.068481922149658,0.1389121264219284,0.5549281239509583,0.0,0.0
20,10,2,0.8,baseline,0,12,1.4468868970870972,1,0.4843931794166565,0.3512948155403137,5.659743309020996,0.1578044444322586,0.6101425886154175,0.0,0.0
20,10,2,0.8,baseline,0,13,1.486538052558899,1,0.4879665672779083,0.3569616377353668,5.550398826599121,0.16220203042030334,0.6380478739738464,0.0,0.0
20,10,2,0.8,baseline,0,14,1.4187617301940918,1,0.49203595519065857,0.3279465138912201,6.041945934295654,0.14930659532546997,0.593701958656311,0.0,0.0
20,10,2,0.8,baseline,0,15,1.4145673513412476,1,0.4884873032569885,0.3339357078075409,5.939040660858154,0.15351590514183044,0.5990906953811646,0.0,0.0
20,10,2,0.8,baseline,0,16,1.1661299467086792,1,0.44600483775138855,0.25740641355514526,7.2763142585754395,0.15101374685764313,0.6039636135101318,0.0,0.0
20,10,2,0.8,baseline,0,17,0.6759036183357239,1,0.4223288595676422,0.15770721435546875,9.24933910369873,0.06496040523052216,0.2599942982196808,0.0,0.0
20,10,2,0.8,baseline,0,18,0.22946128249168396,0,0.04971601814031601,0.15139451622962952,8.831716537475586,0.1701602190732956,0.7541588544845581,0.0,0.0
20,10,2,0.8,baseline,0,19,1.3214852809906006,1,0.43851685523986816,0.31125926971435547,6.353302478790283,0.16378018260002136,0.6489366292953491,0.0,0.0
20,10,2,0.8,baseline,1,0,1.0820316076278687,1,0.8535017371177673,0.17507368326187134,8.509915351867676,0.10124789923429489,0.40254926681518555,0.0,0.0
20,10,2,0.8,baseline,1,1,1.291251540184021,1,0.5397335886955261,0.2577223479747772,7.053607940673828,0.13721249997615814,0.5452481508255005,0.0,0.0
20,10,2,0.8,baseline,1,2,1.3358049392700195,1,0.46152737736701965,0.2869631052017212,6.601511001586914,0.12993629276752472,0.526401698589325,0.0,0.0
20,10,2,0.8,baseline,1,3,1.3237541913986206,1,0.4532608389854431,0.2870542109012604,6.6540045738220215,0.1252671331167221,0.48823994398117065,0.0,0.0
20,10,2,0.8,baseline,1,4,1.527904987335205,1,0.5502386689186096,0.3252479135990143,5.941123962402344,0.15868224203586578,0.6251453161239624,0.0,0.0
20,10,2,0.8,baseline,1,5,1.5463303327560425,1,0.5024370551109314,0.3385033905506134,5.769340991973877,0.16015514731407166,0.6263712644577026,0.0,0.0
20,10,2,0.8,baseline,1,6,1.4974440336227417,1,0.4923277497291565,0.33611205220222473,5.786131381988525,0.15681298077106476,0.6269983053207397,0.0,0.0
20,10,2,0.8,baseline,1,7,1.563376545906067,1,0.5092543363571167,0.34606650471687317,5.58647346496582,0.16574546694755554,0.6461096405982971,0.0,0.0
20,10,2,0.8,baseline,1,8,1.4796799421310425,1,0.48090142011642456,0.3250294327735901,5.937206268310547,0.15412484109401703,0.605987548828125,0.0,0.0
20,10,2,0.8,baseline,1,9,1.5392283201217651,1,0.49150121212005615,0.3445591628551483,5.628773212432861,0.16411155462265015,0.649483859539032,0.0,0.0
20,10,2,0.8,baseline,1,10,1.5871193408966064,1,0.492011159658432,0.3657152056694031,5.302670955657959,0.1601676344871521,0.6239745616912842,0.0,0.0
