n_over_m,sparsity,condition,seed,k_active,fvu_old
2,0.9,baseline,0,1,0.00516569335013628
2,0.9,baseline,0,2,0.04797615483403206
2,0.9,baseline,0,4,0.15025553107261658
2,0.9,baseline,0,8,0.395790159702301
2,0.9,baseline,0,16,1.4400080442428589
2,0.9,baseline,1,1,0.0002958521363325417
2,0.9,baseline,1,2,0.0318094864487648
2,0.9,baseline,1,4,0.10239572077989578
2,0.9,baseline,1,8,0.27469754219055176
2,0.9,baseline,1,16,1.0957729816436768
2,0.9,baseline,2,1,0.0003372145292814821
2,0.9,baseline,2,2,0.04029671847820282
2,0.9,baseline,2,4,0.08793353289365768
2,0.9,baseline,2,8,0.2746908664703369
2,0.9,baseline,2,16,1.090667724609375
2,0.9,baseline,3,1,0.005499561317265034
2,0.9,baseline,3,2,0.053474586457014084
2,0.9,baseline,3,4,0.14309349656105042
2,0.9,baseline,3,8,0.39424946904182434
2,0.9,baseline,3,16,1.5337495803833008
2,0.9,baseline,4,1,0.001972620142623782
2,0.9,baseline,4,2,0.04477468505501747
2,0.9,baseline,4,4,0.15552689135074615
2,0.9,baseline,4,8,0.3800922632217407
2,0.9,baseline,4,16,1.4341742992401123
2,0.9,input_at,0,1,5.992468231852399e-06
2,0.9,input_at,0,2,0.022431019693613052
2,0.9,input_at,0,4,0.09305483102798462
2,0.9,input_at,0,8,0.2812020182609558
2,0.9,input_at,0,16,1.0825119018554688
2,0.9,input_at,1,1,4.516401531873271e-06
2,0.9,input_at,1,2,0.02770118974149227
2,0.9,input_at,1,4,0.0982062965631485
2,0.9,input_at,1,8,0.2765931189060211
2,0.9,input_at,1,16,1.0743719339370728
2,0.9,input_at,2,1,5.799665814265609e-06
2,0.9,input_at,2,2,0.03131228685379028
2,0.9,input_at,2,4,0.08366157859563828
2,0.9,input_at,2,8,0.27655601501464844
2,0.9,input_at,2,16,1.0738742351531982
2,0.9,input_at,3,1,4.604705736710457e-06
2,0.9,input_at,3,2,0.034461986273527145
2,0.9,input_at,3,4,0.10128293186426163
2,0.9,input_at,3,8,0.2760012745857239
2,0.9,input_at,3,16,1.0843762159347534
2,0.9,input_at,4,1,4.693769824370975e-06
2,0.9,input_at,4,2,0.02855858765542507
2,0.9,input_at,4,4,0.10682176798582077
2,0.9,input_at,4,8,0.27222609519958496
2,0.9,input_at,4,16,1.1155344247817993
2,0.9,lat,0,1,5.398922439781018e-06
2,0.9,lat,0,2,0.025547921657562256
2,0.9,lat,0,4,0.09797806292772293
2,0.9,lat,0,8,0.28625622391700745
2,0.9,lat,0,16,1.1038188934326172
2,0.9,lat,1,1,7.1661252150079235e-06
2,0.9,lat,1,2,0.0288547296077013
2,0.9,lat,1,4,0.09924103319644928
2,0.9,lat,1,8,0.28817230463027954
2,0.9,lat,1,16,1.1163742542266846
2,0.9,lat,2,1,9.252263225789648e-06
2,0.9,lat,2,2,0.034226056188344955
2,0.9,lat,2,4,0.08891186118125916
2,0.9,lat,2,8,0.28051483631134033
2,0.9,lat,2,16,1.1251237392425537
2,0.9,lat,3,1,0.011735311709344387
2,0.9,lat,3,2,0.06675677746534348
2,0.9,lat,3,4,0.14422442018985748
2,0.9,lat,3,8,0.34903666377067566
2,0.9,lat,3,16,1.2652058601379395
2,0.9,lat,4,1,0.01671687886118889
2,0.9,lat,4,2,0.06524822860956192
2,0.9,lat,4,4,0.15823744237422943
2,0.9,lat,4,8,0.349438339471817
2,0.9,lat,4,16,1.2640149593353271
4,0.9,baseline,0,1,0.15658336877822876
4,0.9,baseline,0,2,0.2258390486240387
4,0.9,baseline,0,4,0.3552146255970001
4,0.9,baseline,0,8,0.5987134575843811
4,0.9,baseline,0,16,0.9109160900115967
4,0.9,baseline,1,1,0.14363738894462585
4,0.9,baseline,1,2,0.2030569463968277
4,0.9,baseline,1,4,0.3510107100009918
4,0.9,baseline,1,8,0.6099492907524109
4,0.9,baseline,1,16,0.9151930212974548
4,0.9,baseline,2,1,0.14226093888282776
4,0.9,baseline,2,2,0.19509898126125336
4,0.9,baseline,2,4,0.3450700640678406
4,0.9,baseline,2,8,0.5988097786903381
4,0.9,baseline,2,16,0.9205953478813171
4,0.9,baseline,3,1,0.15853780508041382
4,0.9,baseline,3,2,0.20630887150764465
4,0.9,baseline,3,4,0.35456129908561707
4,0.9,baseline,3,8,0.6048715114593506
4,0.9,baseline,3,16,0.9106485247612
4,0.9,baseline,4,1,0.14652790129184723
4,0.9,baseline,4,2,0.20287297666072845
4,0.9,baseline,4,4,0.3473140597343445
4,0.9,baseline,4,8,0.6032294631004333
4,0.9,baseline,4,16,0.9115114212036133
4,0.9,input_at,0,1,0.3475857973098755
4,0.9,input_at,0,2,0.3734840750694275
4,0.9,input_at,0,4,0.43218907713890076
4,0.9,input_at,0,8,0.5652451515197754
4,0.9,input_at,0,16,0.8121821284294128
4,0.9,input_at,1,1,0.30909115076065063
4,0.9,input_at,1,2,0.333223819732666
4,0.9,input_at,1,4,0.42748481035232544
4,0.9,input_at,1,8,0.5722549557685852
4,0.9,input_at,1,16,0.8119729161262512
4,0.9,input_at,2,1,0.29402393102645874
4,0.9,input_at,2,2,0.3440946340560913
4,0.9,input_at,2,4,0.42771992087364197
4,0.9,input_at,2,8,0.5610743761062622
4,0.9,input_at,2,16,0.8122418522834778
4,0.9,input_at,3,1,0.339535117149353
4,0.9,input_at,3,2,0.35822758078575134
4,0.9,input_at,3,4,0.4267790615558624
4,0.9,input_at,3,8,0.571880042552948
4,0.9,input_at,3,16,0.8022557497024536
4,0.9,input_at,4,1,0.32738760113716125
4,0.9,input_at,4,2,0.3546447157859802
4,0.9,input_at,4,4,0.42654141783714294
