experiment,n_over_m,sparsity,condition,eps_rel,seed,interference,mean_D,recon_fvu,sae_mono,r_set2_mean,pr_mean,D_target,r_set2_target
baseline,2,0.9,baseline,0.1,0,0.06420538574457169,0.4530862867832184,0.0580447401666645,0.9997005462646484,0.5015477582812309,4.796948182582855,0.48657500743865967,0.5082875490188599
"eps_sweep(lat,eps=0.05)",2,0.9,lat,0.05,0,0.06099124252796173,0.4681910574436188,0.05701224187815433,0.9995617866516113,0.6150041162967682,4.899147355556488,0.4969419240951538,0.6400133967399597
"eps_sweep(lat,eps=0.10)",2,0.9,lat,0.1,0,0.05766129866242409,0.4793892800807953,0.05718584467524541,0.9995609521865845,0.7170196086168289,4.940579676628113,0.4993111193180084,0.774080216884613
"eps_sweep(lat,eps=0.20)",2,0.9,lat,0.2,0,0.05821610614657402,0.48950013518333435,0.07163800943117658,0.9969526529312134,0.9809163181405318,4.7800297486154655,0.4994247853755951,1.0830049514770508
"eps_sweep(lat,eps=0.40)",2,0.9,lat,0.4,0,0.07370095700025558,0.47761526703834534,0.10767241357582234,0.9964717030525208,2.4554604411125185,5.273628854751587,0.8500059843063354,2.1660265922546387
input_at,2,0.9,input_at,0.1,0,0.06778208911418915,0.44955626130104065,0.0698664829509245,0.998071551322937,0.5067668259143829,4.649898742374621,0.48657047748565674,0.4741097092628479
lat_targeted,2,0.9,lat_targeted,0.1,0,0.06957058608531952,0.4389682412147522,0.06277251876628484,0.9991458058357239,0.5493849575519562,4.823279130458832,0.7618932127952576,0.9690452814102173
baseline,2,0.9,baseline,0.1,1,0.06414230912923813,0.4511807858943939,0.05729721580835859,0.9997445344924927,0.5267784357070923,4.855710756778717,0.48397210240364075,0.5395150780677795
"eps_sweep(lat,eps=0.05)",2,0.9,lat,0.05,1,0.06062375754117966,0.4666033685207367,0.057345372164504436,0.9995845556259155,0.644651535153389,4.896489262580872,0.4912741482257843,0.6595596075057983
"eps_sweep(lat,eps=0.10)",2,0.9,lat,0.1,1,0.058005936443805695,0.47728219628334045,0.05731478490064222,0.9994528889656067,0.7819266080856323,5.001324224472046,0.4966311752796173,0.815839409828186
"eps_sweep(lat,eps=0.20)",2,0.9,lat,0.2,1,0.0530485101044178,0.4945231080055237,0.0813724626773735,0.9991263151168823,1.2264144957065581,5.099720025062561,0.4993351995944977,1.1878935098648071
"eps_sweep(lat,eps=0.40)",2,0.9,lat,0.4,1,0.08181604743003845,0.464667409658432,0.1446269303881499,0.9800165295600891,4.141197764873505,5.245521664619446,0.709663987159729,2.11212158203125
input_at,2,0.9,input_at,0.1,1,0.06296833604574203,0.45453310012817383,0.06327601961414188,0.9981141090393066,0.5310402151785398,4.689619503523174,0.7872701287269592,0.3700055480003357
lat_targeted,2,0.9,lat_targeted,0.1,1,0.06555065512657166,0.44886845350265503,0.056797787012366124,0.9995086789131165,0.5829773411154747,4.858660006523133,0.49780896306037903,0.7858504056930542
baseline,2,0.9,baseline,0.1,2,0.06774307042360306,0.4466519355773926,0.0556215330864636,0.9996856451034546,0.5055799007415771,4.80394983291626,0.4884680509567261,0.4797293245792389
"eps_sweep(lat,eps=0.05)",2,0.9,lat,0.05,2,0.061650607734918594,0.470506489276886,0.06423007371376749,0.994166374206543,0.6446065619587898,4.945388209819794,0.49692249298095703,0.6298395991325378
"eps_sweep(lat,eps=0.10)",2,0.9,lat,0.1,2,0.053805381059646606,0.4932623505592346,0.06374534058966232,0.9992328882217407,0.7348119632193917,4.969075930745978,0.5001448392868042,0.7886810302734375
"eps_sweep(lat,eps=0.20)",2,0.9,lat,0.2,2,0.05802363529801369,0.49917668104171753,0.08951694716610974,0.9992632865905762,0.9608884202806574,5.067430144862125,0.9976464509963989,1.0536004304885864
"eps_sweep(lat,eps=0.40)",2,0.9,lat,0.4,2,0.06475870311260223,0.49769121408462524,0.11666025679463171,0.9916919469833374,2.155278378725052,5.457997477054596,0.9992666244506836,1.7608505487442017
input_at,2,0.9,input_at,0.1,2,0.06207854300737381,0.47544988989830017,0.07526727684058006,0.9973462820053101,0.5110053916772207,4.711918009652032,0.8553692698478699,0.3566599190235138
lat_targeted,2,0.9,lat_targeted,0.1,2,0.06664685904979706,0.45188578963279724,0.05922757623061653,0.9996784925460815,0.5594582110643387,4.92948979139328,0.5023306012153625,0.7510358691215515
baseline,8,0.9,baseline,0.1,0,0.3151170611381531,0.11008989810943604,0.19599811249875346,0.8595306277275085,1.4537068692346413,5.25985316435496,0.5499851107597351,0.4475787878036499
"eps_sweep(lat,eps=0.05)",8,0.9,lat,0.05,0,0.4439690411090851,0.11161661148071289,0.21937680508342475,0.8043072819709778,5.53242629673332,6.214949354529381,0.8393824696540833,1.01242995262146
"eps_sweep(lat,eps=0.10)",8,0.9,lat,0.1,0,0.45595529675483704,0.11205288022756577,0.2044348775762528,0.8532037734985352,8.570548097789288,6.7231359601020815,0.8098821043968201,1.2412610054016113
"eps_sweep(lat,eps=0.20)",8,0.9,lat,0.2,0,0.4464518427848816,0.10739588737487793,0.3294054685737578,0.8326298594474792,8.748681102250073,6.511673334482554,0.8124303221702576,1.5944099426269531
"eps_sweep(lat,eps=0.40)",8,0.9,lat,0.4,0,0.1409202218055725,0.09996137022972107,0.8535157675822266,0.8079069256782532,12.032123457741093,6.8723597172144295,0.35824888944625854,6.0901780128479
input_at,8,0.9,input_at,0.1,0,0.3814035654067993,0.10108958184719086,0.3342920829512987,0.8479183316230774,1.4875561481430417,4.926076900391352,0.6417538523674011,0.34822461009025574
