n_over_m,sparsity,condition,seed,feature,w_norm,I_i,D_i,self_drop,collateral,n_represented
2,0.8,baseline,0,0,1.2402334213256836,0.05552157759666443,0.4970605969429016,1.00884211063385,0.055306870490312576,19
2,0.8,baseline,0,1,1.1817131042480469,0.055596936494112015,0.5087412595748901,1.0501302480697632,0.05521005764603615,19
2,0.8,baseline,0,2,1.2881896495819092,0.053489841520786285,0.5445354580879211,1.0432846546173096,0.053880371153354645,19
2,0.8,baseline,0,3,1.2812713384628296,0.05454830080270767,0.5082149505615234,1.0088762044906616,0.055974144488573074,19
2,0.8,baseline,0,4,1.275713562965393,0.05523340404033661,0.4918763041496277,0.9863528609275818,0.05669395625591278,19
2,0.8,baseline,0,5,1.2170894145965576,0.05559062957763672,0.4785016179084778,0.9993117451667786,0.055798131972551346,19
2,0.8,baseline,0,6,1.4427324533462524,0.06079326197504997,0.5230309963226318,1.0106834173202515,0.05320535972714424,19
2,0.8,baseline,0,7,1.262330174446106,0.055235229432582855,0.481733113527298,1.0219253301620483,0.05467795580625534,19
2,0.8,baseline,0,8,1.146340250968933,0.055520761758089066,0.4787132441997528,0.9990053176879883,0.05810271203517914,19
2,0.8,baseline,0,9,1.4628807306289673,0.05825887992978096,0.49493473768234253,1.024454951286316,0.05452752113342285,19
2,0.8,baseline,0,10,1.5093543529510498,0.057105377316474915,0.5029572248458862,1.030617117881775,0.054778993129730225,19
2,0.8,baseline,0,11,1.2333531379699707,0.054668813943862915,0.47043105959892273,1.0094280242919922,0.05582807585597038,19
2,0.8,baseline,0,12,1.4468868970870972,0.05812988057732582,0.4843931794166565,0.9847770929336548,0.056796595454216,19
2,0.8,baseline,0,13,1.486538052558899,0.056937504559755325,0.4879665672779083,0.9899892807006836,0.0571686290204525,19
2,0.8,baseline,0,14,1.4187617301940918,0.05534259229898453,0.49203595519065857,1.0065313577651978,0.05620662868022919,19
2,0.8,baseline,0,15,1.4145673513412476,0.055580515414476395,0.4884873032569885,1.0129823684692383,0.05568377673625946,19
2,0.8,baseline,0,16,1.1661299467086792,0.05356680229306221,0.44600483775138855,0.972941517829895,0.05774076655507088,19
2,0.8,baseline,0,17,0.6759036183357239,0.06829766184091568,0.4223288595676422,1.2273178100585938,0.003793100593611598,19
2,0.8,baseline,0,19,1.3214852809906006,0.06107537820935249,0.43851685523986816,0.9578106999397278,0.05597345530986786,19
2,0.8,baseline,1,0,1.0820316076278687,0.013630378060042858,0.8535017371177673,1.125514030456543,8.36402177810669e-05,18
