regime,proxy,spearman_vs_D,pearson_vs_D,nobs
ALL,top1_evr,-0.02843972890028597,0.00811477815660344,3555
ALL,pr,0.07727959962171188,0.01792833598647872,3555
ALL,r_set1,-0.377345344572343,-0.3742902076251598,3555
ALL,r_set2,-0.30745371385633113,-0.4513002713266213,3555
cond=baseline,top1_evr,-0.25614084305415896,-0.18861175284883447,1188
cond=baseline,pr,0.27458501325591045,0.2432503285890383,1188
cond=baseline,r_set1,-0.12897128279356412,-0.37783001984781395,1188
cond=baseline,r_set2,0.01351490864883428,-0.4070177530732844,1188
cond=input_at,top1_evr,0.03126906238905565,0.10328909268537662,1159
cond=input_at,pr,0.019323822712247394,-0.05737581810651727,1159
cond=input_at,r_set1,-0.6079064373047129,-0.43947375989560306,1159
cond=input_at,r_set2,-0.5666305195853258,-0.5583173562133247,1159
cond=lat,top1_evr,0.09134975070174338,0.07022810749780366,1208
cond=lat,pr,-0.051847178249686446,-0.0883098414944435,1208
cond=lat,r_set1,-0.3480664236963345,-0.33965593178309444,1208
cond=lat,r_set2,-0.22153942873267432,-0.45346384831542613,1208
"n/m=2,S=0.8",top1_evr,-0.24389099468277822,-0.3486643366191268,258
"n/m=2,S=0.8",pr,0.250118352643011,0.3298123847088669,258
"n/m=2,S=0.8",r_set1,-0.1418886601223041,-0.4516767977934269,258
"n/m=2,S=0.8",r_set2,-0.1314589535565013,-0.45013049107854897,258
"n/m=2,S=0.9",top1_evr,0.017313071127706556,-0.05236550821228549,292
"n/m=2,S=0.9",pr,-0.005391055138179226,0.08236387430663587,292
"n/m=2,S=0.9",r_set1,0.5345487829036315,0.19634113262314595,292
"n/m=2,S=0.9",r_set2,0.5345887880512818,0.19182693724308114,292
"n/m=2,S=0.99",top1_evr,0.15391415460171778,0.19674634048117476,300
"n/m=2,S=0.99",pr,-0.15054789497661084,-0.19125640460993198,300
"n/m=2,S=0.99",r_set1,0.16361070678563094,0.2962755716683987,300
"n/m=2,S=0.99",r_set2,0.15808620095778841,0.31495042798034373,300
"n/m=4,S=0.8",top1_evr,0.027312966424565863,0.06520529625870791,276
"n/m=4,S=0.8",pr,-0.0012391375693839987,-0.052434648161049625,276
"n/m=4,S=0.8",r_set1,-0.03716613632796336,-0.44979096118302936,276
"n/m=4,S=0.8",r_set2,-0.033054322854982096,-0.456877422325942,276
"n/m=4,S=0.9",top1_evr,-0.003942104060026807,0.3335621232668237,310
"n/m=4,S=0.9",pr,0.005973074138262659,-0.3756302137910053,310
"n/m=4,S=0.9",r_set1,0.16439236553433303,-0.40875524966637855,310
"n/m=4,S=0.9",r_set2,0.17818096861804814,-0.4635481744367219,310
"n/m=4,S=0.99",top1_evr,0.7532023159872074,0.8008421440351151,530
"n/m=4,S=0.99",pr,-0.7527812420592723,-0.7328819688724346,530
"n/m=4,S=0.99",r_set1,-0.26727010655209654,-0.26285708940117963,530
"n/m=4,S=0.99",r_set2,-0.23393868755754352,-0.3848245059027172,530
"n/m=8,S=0.8",top1_evr,0.2838573608913687,0.34626340118738863,505
"n/m=8,S=0.8",pr,-0.12262673472316177,-0.21874214639765874,505
"n/m=8,S=0.8",r_set1,-0.7340357017068168,-0.3696607030732346,505
"n/m=8,S=0.8",r_set2,-0.7859533779464906,-0.4152349980109271,505
"n/m=8,S=0.9",top1_evr,0.5786456614978555,0.6013839457035975,433
"n/m=8,S=0.9",pr,-0.5956556739261797,-0.640647172533479,433
"n/m=8,S=0.9",r_set1,-0.6353519604469466,-0.42919982845771076,433
"n/m=8,S=0.9",r_set2,-0.6378732488301884,-0.6022303853931733,433
"n/m=8,S=0.99",top1_evr,0.8309006291551315,0.8527659724642935,651
"n/m=8,S=0.99",pr,-0.8296166568440465,-0.7953279925316156,651
"n/m=8,S=0.99",r_set1,-0.6015142348251392,-0.7102539434355165,651
"n/m=8,S=0.99",r_set2,-0.5891026764646397,-0.6721112218813857,651
