n,m,n_over_m,sparsity,condition,seed,recon_fvu,interference,sae_fvu_clean,sae_fvu_adv,sae_l0_clean,sae_l0_adv,sae_mono,sae_k,sae_dict,mean_D
20,10,2,0.8,baseline,0,0.12901040966055602,0.05740224942564964,0.022791787981987,0.02448028139770031,4.0,4.0,0.9922889471054077,4,80,0.4645090103149414
20,10,2,0.8,baseline,1,0.1297477214514363,0.07099198549985886,0.021353958174586296,0.024446740746498108,4.0,4.0,0.9890555143356323,4,80,0.4484369158744812
20,10,2,0.8,baseline,2,0.13975113068182599,0.0757358968257904,0.013913266360759735,0.016126833856105804,4.0,4.0,0.9955170750617981,4,80,0.4611690640449524
20,10,2,0.8,baseline,3,0.12166445480003431,0.06929905712604523,0.015635671094059944,0.022252026945352554,4.0,4.0,0.979277491569519,4,80,0.4322234094142914
20,10,2,0.8,baseline,4,0.13677141522161973,0.07699237018823624,0.02909223921597004,0.030785398557782173,4.0,4.0,0.9579949378967285,4,80,0.45606812834739685
20,10,2,0.8,input_at,0,0.1589990299373204,0.07381509244441986,0.021956928074359894,0.02316790260374546,3.998291015625,3.998779296875,0.9150024652481079,4,80,0.4429968297481537
20,10,2,0.8,input_at,1,0.15293311834984938,0.1008249968290329,0.018628355115652084,0.02159406617283821,4.0,4.0,0.9845463633537292,4,80,0.4514196813106537
20,10,2,0.8,input_at,2,0.15982925286884808,0.11833415925502777,0.013908825814723969,0.02030964381992817,4.0,4.0,0.9828354716300964,4,80,0.4559641480445862
20,10,2,0.8,input_at,3,0.16140118485819913,0.07256048172712326,0.008516425266861916,0.0129907401278615,4.0,4.0,0.9365178942680359,4,80,0.41829824447631836
20,10,2,0.8,input_at,4,0.126606828317161,0.06502542644739151,0.013687982223927975,0.0190744586288929,4.0,4.0,0.9465337991714478,4,80,0.453761488199234
20,10,2,0.8,lat,0,0.13856549808647262,0.0689583346247673,0.017461318522691727,0.01715913787484169,4.0,4.0,0.9913835525512695,4,80,0.4958117604255676
20,10,2,0.8,lat,1,0.14159037923482182,0.0690583735704422,0.014626827090978622,0.014147007837891579,4.0,4.0,0.9985061883926392,4,80,0.4939956068992615
20,10,2,0.8,lat,2,0.1409669574714963,0.06842838227748871,0.015167765319347382,0.014938915148377419,4.0,4.0,0.9898392558097839,4,80,0.4971230924129486
20,10,2,0.8,lat,3,0.12182305131177287,0.07118289917707443,0.016180114820599556,0.016133608296513557,4.0,4.0,0.9844169616699219,4,80,0.457763135433197
20,10,2,0.8,lat,4,0.13261832459235476,0.05830661952495575,0.019877878949046135,0.021562283858656883,4.0,4.0,0.9751176834106445,4,80,0.49247875809669495
20,10,2,0.9,baseline,0,0.0580447401666645,0.06420538574457169,0.07755102962255478,0.0863361731171608,2.0,2.0,0.9997005462646484,2,80,0.4530862867832184
20,10,2,0.9,baseline,1,0.05729721580835859,0.06414230912923813,0.07732776552438736,0.08497530221939087,2.0,1.999755859375,0.9997445344924927,2,80,0.4511807858943939
20,10,2,0.9,baseline,2,0.0556215330864636,0.06774307042360306,0.07781343162059784,0.08590877056121826,2.0,2.0,0.9996856451034546,2,80,0.4466519355773926
20,10,2,0.9,baseline,3,0.05407663554820253,0.06339059770107269,0.07179847359657288,0.07642589509487152,2.0,2.0,0.9990617632865906,2,80,0.4496230483055115
20,10,2,0.9,baseline,4,0.053237096445098525,0.06382164359092712,0.07968636602163315,0.08755990117788315,2.0,2.0,0.9996675252914429,2,80,0.45384177565574646
20,10,2,0.9,input_at,0,0.0698664829509245,0.06778208911418915,0.07330319285392761,0.07804509997367859,2.0,2.0,0.998071551322937,2,80,0.44955626130104065
20,10,2,0.9,input_at,1,0.06327601961414188,0.06296833604574203,0.07098257541656494,0.07632388174533844,2.0,2.0,0.9981141090393066,2,80,0.45453310012817383
20,10,2,0.9,input_at,2,0.07526727684058006,0.06207854300737381,0.06574802845716476,0.06874892115592957,2.0,2.0,0.9973462820053101,2,80,0.47544988989830017
20,10,2,0.9,input_at,3,0.07179533320641578,0.06467019021511078,0.07040226459503174,0.07567037642002106,2.0,2.0,0.9994403123855591,2,80,0.44032391905784607
20,10,2,0.9,input_at,4,0.06521632915514691,0.05910685658454895,0.07694921642541885,0.08001572638750076,2.0,2.0,0.9910833239555359,2,80,0.4587272107601166
20,10,2,0.9,lat,0,0.05718584467524541,0.05766129866242409,0.08914956450462341,0.08887171000242233,2.0,2.0,0.9995609521865845,2,80,0.4793892800807953
20,10,2,0.9,lat,1,0.05731478490064222,0.058005936443805695,0.08515945076942444,0.08341958373785019,2.0,2.0,0.9994528889656067,2,80,0.47728219628334045
20,10,2,0.9,lat,2,0.06374534058966232,0.053805381059646606,0.07576553523540497,0.07492361962795258,2.0,2.0,0.9992328882217407,2,80,0.4932623505592346
20,10,2,0.9,lat,3,0.047540791902488666,0.05846141651272774,0.07533543556928635,0.07428234070539474,2.0,2.0,0.9997532963752747,2,80,0.47366538643836975
20,10,2,0.9,lat,4,0.05168841224190471,0.05814614146947861,0.08055464923381805,0.07894645631313324,2.0,2.0,0.9995651245117188,2,80,0.47671929001808167
20,10,2,0.99,baseline,0,0.021636312167509934,0.0702488124370575,0.030235210433602333,0.036803461611270905,1.0,1.0,0.9982389211654663,1,80,0.42629557847976685
