holdout,holdout_idx,seed,condition,new_acc_end,old_acc_start,old_acc_end,forgetting,steps_to_new90,traj
sub,1,0,baseline,1.0,1.0,0.6934911012649536,0.3065088987350464,120,0:0.05:1.00;60:0.87:0.73;120:1.00:0.70;180:1.00:0.70;240:1.00:0.70;300:1.00:0.70;360:1.00:0.69;420:1.00:0.70;480:1.00:0.70;540:1.00:0.70;600:1.00:0.69
sub,1,0,input_at,1.0,0.9988165497779846,0.7692307829856873,0.22958576679229736,60,0:0.07:1.00;60:0.96:0.85;120:1.00:0.80;180:1.00:0.79;240:1.00:0.79;300:1.00:0.78;360:1.00:0.78;420:1.00:0.78;480:1.00:0.78;540:1.00:0.77;600:1.00:0.77
sub,1,0,lat,1.0,1.0,0.7325443625450134,0.2674556374549866,60,0:0.06:1.00;60:0.93:0.79;120:1.00:0.75;180:1.00:0.74;240:1.00:0.74;300:1.00:0.74;360:1.00:0.74;420:1.00:0.73;480:1.00:0.73;540:1.00:0.74;600:1.00:0.73
sub,1,1,baseline,1.0,1.0,0.6142011880874634,0.3857988119125366,120,0:0.10:1.00;60:0.51:0.66;120:0.99:0.62;180:1.00:0.62;240:1.00:0.62;300:1.00:0.62;360:1.00:0.62;420:1.00:0.62;480:1.00:0.62;540:1.00:0.62;600:1.00:0.61
sub,1,1,input_at,1.0,0.997633159160614,0.7124260067939758,0.2852071523666382,120,0:0.11:1.00;60:0.76:0.80;120:1.00:0.74;180:1.00:0.73;240:1.00:0.73;300:1.00:0.72;360:1.00:0.72;420:1.00:0.72;480:1.00:0.72;540:1.00:0.71;600:1.00:0.71
sub,1,1,lat,1.0,1.0,0.6840236783027649,0.3159763216972351,120,0:0.12:1.00;60:0.66:0.76;120:1.00:0.70;180:1.00:0.70;240:1.00:0.70;300:1.00:0.69;360:1.00:0.69;420:1.00:0.69;480:1.00:0.69;540:1.00:0.69;600:1.00:0.68
sub,1,2,baseline,1.0,1.0,0.5917159914970398,0.4082840085029602,120,0:0.08:1.00;60:0.75:0.60;120:1.00:0.61;180:1.00:0.60;240:1.00:0.60;300:1.00:0.60;360:1.00:0.60;420:1.00:0.59;480:1.00:0.59;540:1.00:0.59;600:1.00:0.59
sub,1,2,input_at,1.0,0.9988165497779846,0.6804733872413635,0.3183431625366211,120,0:0.11:1.00;60:0.73:0.76;120:1.00:0.71;180:1.00:0.70;240:1.00:0.69;300:1.00:0.69;360:1.00:0.69;420:1.00:0.68;480:1.00:0.68;540:1.00:0.68;600:1.00:0.68
sub,1,2,lat,1.0,1.0,0.6639053225517273,0.3360946774482727,60,0:0.10:1.00;60:0.91:0.74;120:1.00:0.67;180:1.00:0.67;240:1.00:0.67;300:1.00:0.67;360:1.00:0.67;420:1.00:0.67;480:1.00:0.66;540:1.00:0.67;600:1.00:0.66
mul,2,0,baseline,1.0,1.0,0.5976331233978271,0.40236687660217285,60,0:0.09:1.00;60:0.91:0.66;120:1.00:0.61;180:1.00:0.61;240:1.00:0.60;300:1.00:0.60;360:1.00:0.60;420:1.00:0.60;480:1.00:0.60;540:1.00:0.60;600:1.00:0.60
mul,2,0,input_at,1.0,0.9988165497779846,0.7278106212615967,0.27100592851638794,60,0:0.09:1.00;60:0.99:0.79;120:1.00:0.75;180:1.00:0.75;240:1.00:0.74;300:1.00:0.74;360:1.00:0.73;420:1.00:0.73;480:1.00:0.73;540:1.00:0.73;600:1.00:0.73
mul,2,0,lat,1.0,0.9952662587165833,0.6011834144592285,0.39408284425735474,60,0:0.09:1.00;60:0.98:0.67;120:1.00:0.62;180:1.00:0.60;240:1.00:0.61;300:1.00:0.61;360:1.00:0.61;420:1.00:0.60;480:1.00:0.60;540:1.00:0.60;600:1.00:0.60
mul,2,1,baseline,1.0,1.0,0.5786982178688049,0.42130178213119507,120,0:0.06:1.00;60:0.87:0.64;120:1.00:0.61;180:1.00:0.60;240:1.00:0.60;300:1.00:0.59;360:1.00:0.59;420:1.00:0.58;480:1.00:0.58;540:1.00:0.58;600:1.00:0.58
mul,2,1,input_at,1.0,0.997633159160614,0.6319526433944702,0.3656805157661438,60,0:0.08:1.00;60:0.99:0.67;120:1.00:0.65;180:1.00:0.65;240:1.00:0.65;300:1.00:0.64;360:1.00:0.64;420:1.00:0.64;480:1.00:0.63;540:1.00:0.63;600:1.00:0.63
mul,2,1,lat,1.0,1.0,0.7065088748931885,0.2934911251068115,60,0:0.05:1.00;60:1.00:0.75;120:1.00:0.74;180:1.00:0.73;240:1.00:0.72;300:1.00:0.72;360:1.00:0.72;420:1.00:0.72;480:1.00:0.71;540:1.00:0.71;600:1.00:0.71
mul,2,2,baseline,1.0,1.0,0.4390532672405243,0.5609467327594757,120,0:0.11:1.00;60:0.70:0.36;120:1.00:0.43;180:1.00:0.43;240:1.00:0.43;300:1.00:0.44;360:1.00:0.43;420:1.00:0.43;480:1.00:0.43;540:1.00:0.43;600:1.00:0.44
mul,2,2,input_at,1.0,0.9988165497779846,0.4485207200050354,0.5502958297729492,120,0:0.07:1.00;60:0.85:0.56;120:1.00:0.49;180:1.00:0.47;240:1.00:0.47;300:1.00:0.47;360:1.00:0.46;420:1.00:0.45;480:1.00:0.45;540:1.00:0.45;600:1.00:0.45
mul,2,2,lat,1.0,1.0,0.4189349114894867,0.5810650885105133,120,0:0.11:1.00;60:0.85:0.50;120:1.00:0.46;180:1.00:0.45;240:1.00:0.44;300:1.00:0.43;360:1.00:0.43;420:1.00:0.42;480:1.00:0.42;540:1.00:0.42;600:1.00:0.42
