op,op_idx,I_i,self_drop,collateral,base_acc,seed,condition
add,0,0.05165372043848038,0.36094677448272705,0.02130178175866604,1.0,0,baseline
sub,1,0.0459308885037899,0.7337278127670288,0.004733717534691095,1.0,0,baseline
mul,2,0.04120346158742905,0.8698225021362305,0.002366864588111639,1.0,0,baseline
lin,3,0.040155187249183655,0.8698225021362305,0.0,1.0,0,baseline
max,4,0.04212304949760437,0.6863905191421509,0.06982247531414032,1.0,0,baseline
min,5,0.04794178530573845,0.9585798978805542,0.013017749413847923,1.0,0,baseline
add,0,0.05157652497291565,0.307692289352417,0.0035503029357641935,1.0,0,input_at
sub,1,0.0464925542473793,0.6863905191421509,0.0,1.0,0,input_at
mul,2,0.041232880204916,0.668639063835144,0.0,1.0,0,input_at
lin,3,0.040297720581293106,0.8698225021362305,0.0,0.9940828680992126,0,input_at
max,4,0.041538119316101074,0.7633135914802551,0.003550291061401367,1.0,0,input_at
min,5,0.04748063534498215,0.9644970297813416,0.0035503029357641935,1.0,0,input_at
add,0,0.05135584622621536,0.2248520851135254,0.027218937873840332,1.0,0,lat
sub,1,0.04587937146425247,0.7100591659545898,0.008284020237624645,1.0,0,lat
mul,2,0.041164714843034744,0.7514792680740356,0.0011834263568744063,1.0,0,lat
lin,3,0.039838314056396484,0.9053254127502441,0.0,1.0,0,lat
max,4,0.041570670902729034,0.7751479148864746,0.03195265680551529,1.0,0,lat
min,5,0.04794493317604065,0.9704142212867737,0.034319519996643066,1.0,0,lat
add,0,0.038961611688137054,0.7337278127670288,0.0,1.0,1,baseline
sub,1,0.04319877550005913,0.8875739574432373,0.0,1.0,1,baseline
mul,2,0.04741498827934265,0.4082840085029602,0.16449704766273499,1.0,1,baseline
lin,3,0.0473162904381752,0.8284024000167847,0.0011834263568744063,1.0,1,baseline
max,4,0.05600552633404732,0.6568047404289246,0.14792898297309875,1.0,1,baseline
min,5,0.04378508776426315,0.8639053106307983,0.0721893459558487,1.0,1,baseline
add,0,0.03904055058956146,0.6094674468040466,0.0011834263568744063,1.0,1,input_at
sub,1,0.04336365684866905,0.8402366638183594,0.0,0.976331353187561,1,input_at
mul,2,0.04733988642692566,0.5088757276535034,0.040236689150333405,1.0,1,input_at
lin,3,0.04761875793337822,0.88165682554245,0.002366864588111639,1.0,1,input_at
max,4,0.054970186203718185,0.7337278127670288,0.035502947866916656,1.0,1,input_at
min,5,0.0432140938937664,0.9526627063751221,0.007100582122802734,1.0,1,input_at
add,0,0.038743756711483,0.639053225517273,0.0,1.0,1,lat
sub,1,0.04300735145807266,0.8757396340370178,0.0,1.0,1,lat
mul,2,0.04703434556722641,0.40236687660217285,0.10532544553279877,1.0,1,lat
lin,3,0.047233741730451584,0.8757396340370178,0.004733729176223278,1.0,1,lat
max,4,0.0555913932621479,0.7218934893608093,0.11005917936563492,1.0,1,lat
min,5,0.04329654201865196,0.9230769276618958,0.04852069541811943,1.0,1,lat
add,0,0.04728692024946213,0.692307710647583,0.036686383187770844,1.0,2,baseline
sub,1,0.04530167952179909,0.8461538553237915,0.0,1.0,2,baseline
mul,2,0.05309774726629257,0.6213017702102661,0.023668646812438965,1.0,2,baseline
lin,3,0.05133591964840889,0.9053254127502441,0.0,1.0,2,baseline
max,4,0.06129045411944389,0.8520709872245789,0.08047336339950562,1.0,2,baseline
min,5,0.05416982248425484,0.7751479148864746,0.16568048298358917,1.0,2,baseline
add,0,0.04695015028119087,0.5088757276535034,0.0,0.9940828680992126,2,input_at
sub,1,0.04694624990224838,0.834319531917572,0.0,1.0,2,input_at
mul,2,0.05052744224667549,0.3668639063835144,-0.0011834263568744063,1.0,2,input_at
lin,3,0.05160495638847351,0.8520709872245789,0.0,1.0,2,input_at
max,4,0.060103751718997955,0.7988165616989136,0.0011834263568744063,1.0,2,input_at
min,5,0.05161835998296738,0.8698225021362305,0.027218937873840332,1.0,2,input_at
add,0,0.04698473960161209,0.668639063835144,0.014201176352798939,1.0,2,lat
sub,1,0.045602042227983475,0.8224852085113525,0.0,1.0,2,lat
mul,2,0.05164153501391411,0.39053255319595337,0.018934905529022217,1.0,2,lat
lin,3,0.05125639960169792,0.8934911489486694,0.0,1.0,2,lat
max,4,0.06062581017613411,0.8757396340370178,0.1017751470208168,1.0,2,lat
min,5,0.05294022709131241,0.8047337532043457,0.1230769157409668,1.0,2,lat
